D241,19,3,9,16,10
D242,7,4,10,10,12
D243,2,8,17,17,16
D244,7,5,17,3,8
D245,14,5,6,19,6
D246,8,4,6,11,15
D247,20,7,7,13,12
D248,18,16,20,16,15
D249,19,11,10,13,2
D250,7,18,9,12,19
D251,16,7,14,8,10
D252,1,11,15,20,10
D253,9,6,8,16,20
D254,7,4,13,6,2
D255,17,1,1,11,19
D256,18,6,2,17,13
D257,4,1,4,6,7
D258,5,12,12,8,2
D259,2,9,8,3,20
D260,10,13,13,2,19
D261,15,20,15,14,16
D262,5,16,8,15,11
D263,16,13,12,19,16
D264,1,20,17,9,14
D265,15,18,7,15,1
D266,6,13,17,13,15
D267,8,6,3,2,12
D268,14,15,14,19,19
D269,7,15,4,10,16
D270,15,6,14,18,7
D271,16,9,4,12,4
